id,created_at,severity,event_type,message,source,actor_principal,actor_username,board_id
32469,2026-05-23T15:44:17.180872+00:00,OK,general,"Desacople IN/OUT aplicado: holding 0x00FA (250)=0, slave_id=3",system,system,,3
32468,2026-05-23T15:44:16.790091+00:00,OK,general,TCP conectado a 192.168.1.103:5000 (slave_id=3),system,system,,3
32467,2026-05-23T15:44:16.045893+00:00,OK,general,"Desacople IN/OUT aplicado: holding 0x00FA (250)=0, slave_id=4",system,system,,2
32466,2026-05-23T15:44:15.629945+00:00,OK,general,TCP conectado a 192.168.1.102:5000 (slave_id=4),system,system,,2
32465,2026-05-21T17:10:08.233183+00:00,ERR,general,"TCP Modbus no operativo (slave_id=4): Modbus Error: [Input/Output] No response received after 0 retries, continue with next request",system,system,,2
32464,2026-05-21T17:10:04.211007+00:00,OK,general,TCP conectado a 192.168.1.102:5000 (slave_id=4),system,system,,2
32463,2026-05-21T17:09:59.899733+00:00,ERR,general,"TCP Modbus no operativo (slave_id=1): Modbus Error: [Input/Output] No response received after 0 retries, continue with next request",system,system,,1
32462,2026-05-21T17:09:55.880986+00:00,OK,general,TCP conectado a 192.168.1.101:5000 (slave_id=1),system,system,,1
32461,2026-05-21T17:09:49.564119+00:00,ERR,general,"TCP Modbus no operativo (slave_id=3): Modbus Error: [Input/Output] No response received after 0 retries, continue with next request",system,system,,3
32460,2026-05-21T17:09:45.544368+00:00,OK,general,TCP conectado a 192.168.1.103:5000 (slave_id=3),system,system,,3
32459,2026-05-21T17:09:19.239621+00:00,OK,general,Regla ejecutada: horario_automatico,system,system,,1
32458,2026-05-21T17:09:05.127572+00:00,OK,general,Regla forzada ejecutada: horario_automatico,panel_ui,panel,ceroideas,1
32457,2026-05-21T17:09:04.800095+00:00,OK,general,Radar ON â†’ salidas regla interfono_puerta_calle_interior,system,system,,1
32456,2026-05-21T17:09:04.032136+00:00,OK,general,Regla ejecutada: horario_cerrado,system,system,,1
32455,2026-05-21T17:08:49.189418+00:00,OK,general,"Desacople IN/OUT aplicado: holding 0x00FA (250)=0, slave_id=4",panel_ui,panel,ceroideas,2
32454,2026-05-21T17:08:48.472433+00:00,OK,general,TCP conectado a 192.168.1.102:5000 (slave_id=4),panel_ui,panel,ceroideas,2
32453,2026-05-21T17:08:48.047983+00:00,OK,general,"Desacople IN/OUT aplicado: holding 0x00FA (250)=0, slave_id=3",system,system,,3
32452,2026-05-21T17:08:47.583064+00:00,OK,general,TCP conectado a 192.168.1.103:5000 (slave_id=3),system,system,,3
32451,2026-05-21T17:08:47.576098+00:00,OK,general,"Desacople IN/OUT aplicado: holding 0x00FA (250)=0, slave_id=1",panel_ui,panel,ceroideas,1
32450,2026-05-21T17:08:46.419411+00:00,OK,general,TCP conectado a 192.168.1.101:5000 (slave_id=1),panel_ui,panel,ceroideas,1
32449,2026-05-21T13:38:35.507323+00:00,INFO,general,Modo desactivado por trigger OFF: horario_automatico,system,system,,1
32448,2026-05-21T13:38:35.504333+00:00,WARN,general,desactiva_flanco:horario_automatico: omitida salida OUT_03_06 (mÃ³dulo 3 sin Modbus conectado),system,system,,3
32447,2026-05-21T13:38:35.500346+00:00,WARN,general,desactiva_flanco:horario_automatico: omitida salida OUT_03_05 (mÃ³dulo 3 sin Modbus conectado),system,system,,3
32446,2026-05-21T13:38:35.491712+00:00,ERR,general,TCP 192.168.1.103:5000: No se pudo establecer conexiÃ³n TCP,system,system,,3
32445,2026-05-21T13:38:31.471923+00:00,WARN,general,desactiva_flanco:horario_automatico: omitida salida OUT_02_05 (mÃ³dulo 2 sin Modbus conectado),system,system,,2
32444,2026-05-21T13:38:31.468000+00:00,WARN,general,desactiva_flanco:horario_automatico: omitida salida OUT_02_06 (mÃ³dulo 2 sin Modbus conectado),system,system,,2
